Zone,Code zone,Année,Population,Evolution population (%),Dispo. Alim. (Kcal/personne),Dispo. Prot. (g/personne),Prot. Animales/Prot. Totales dispo (%),Cluster,Clusterkm,Croissance annuelle PIB US$ (%),PIB Total US$ (Millions),Nombre de têtes réserves volailles,Moyenne prix conso alim ($/mois),Imports viandes / hbts (kg/personne/an),Imports viande volaille / hbts (kg/personne/an),Import volailles / imports viandes (%),Conso volailles 2017 (kg/hbt/an),Evo conso volailles 2015-2017 (%),Elevage volailles / hbts (kg/personne/an),Cluster6,H1,H2,Clusterkm5,F1,F2,F3,F4
Maldives,132,2017,496402.0,9.12,821980.0,29827.8,60.083,2,0,8.149222,4735.999662,14841121.399360167,162.9394915,34.24643736326606,24.17395578583487,70.58823529411767,13.5,1.8869999999999998,7.8480532600304285,6,False,True,3,2.4663120887306604,-2.854436406350618,1.504626472558714,-0.9835420290680483
Mali,133,2017,18512430.0,6.157,1067990.0,30992.15,27.311,2,0,9.491953,15375.720393,45000000.0,118.57709133333334,0.10803551991823873,0.054017759959119366,50.0,2.83,8.846,2.592852478037729,3,True,False,2,0.7476607526759147,0.9165128407202786,2.434870267094888,1.5831349386713853
Mauritanie,136,2017,4282570.0,5.8389999999999995,1037330.0,29134.3,36.883,2,0,7.560997,7062.598875,4634000.0,135.58304283333334,5.6041115498404,5.6041115498404,100.0,5.14,-0.772,1.0956038079937982,3,True,False,2,0.8338433276087519,-0.9607447662116916,1.8770755689131913,1.1076472189950888
Mozambique,144,2017,28649018.0,5.943,840960.0,18691.65,17.555,1,0,10.740445,13219.07958,36458000.0,199.09303516666668,1.256587573088893,0.8377250487259285,66.66666666666666,3.59,6.212999999999999,3.1048882722611992,2,True,False,1,-2.0391416494304786,0.03433855392616883,-0.11879907717435226,-0.5228430797976124
Namibie,147,2017,2402633.0,3.79,887315.0,22692.05,36.625,2,3,20.201969,13566.192143,4625000.0,163.01500908333338,17.064612031883353,12.070091437185788,70.73170731707317,11.53,5.78,4.329000725454116,6,False,True,2,0.3376779737633215,-0.3651340559302522,0.5847459446327241,-1.637839800635812
Népal,149,2017,27632681.0,2.286,1046090.0,26900.5,17.178,2,3,21.947608,25587.453463,70402000.0,114.75416666666668,0.03618903283398379,5.003144182410275,53.861552692864954,1.99,23.601999999999997,2.072473532336584,3,True,False,2,-0.15989957377331074,2.012879407222408,2.1800729808310546,-0.11870969484563776
Vanuatu,155,2017,285510.0,5.303999999999999,957395.0,23261.45,39.746,2,0,9.413919,880.046992,859000.0,119.22456275,14.010017162271025,14.010017162271025,100.0,11.66,3.552,3.9788448740849702,6,False,True,3,0.8932271969909882,-1.5789768395098571,0.6510457490075569,-0.044456858663981344
Nicaragua,157,2017,6384846.0,2.597,959585.0,24144.750000000004,33.333,2,3,4.196068,13843.586679,23192000.0,149.61927666666662,4.5420046153031715,0.939725092821346,20.689655172413797,21.59,6.565,22.351674574453327,5,False,False,0,2.057883704506536,1.6914802173146373,-1.288605321811081,-0.17481667721460925
Niger,158,2017,21602382.0,8.003,941335.0,29889.85,15.24,1,0,8.578767,11170.054787,19396000.0,102.95833333333331,0.13887357421973187,0.13887357421973187,100.0,0.94,-23.576999999999998,0.8651823673889296,3,True,False,2,-0.5467850911330373,-1.3829882128270632,1.8487037110446218,2.845754347009682
Nigéria,159,2017,190873244.0,5.375,899360.0,20410.8,12.75,1,0,-7.136900999999999,375769.719405,143232000.0,221.42601466666667,0.005239078977460036,5.003144182410275,53.861552692864954,1.01,-6.481,1.0388464922825955,1,False,False,1,-1.6002600424646023,-0.08615993191655263,-1.0056266155547535,0.9823487115959204
Pakistan,165,2017,207906209.0,4.252,848990.0,24181.25,42.053000000000004,2,3,9.214046000000002,303091.943222,503159000.0,106.53853424999998,0.0192394446478508,0.0096197223239254,50.0,5.86,13.786,6.1373828426644055,3,True,False,2,0.44982935140856417,1.3610953095119231,-0.023021109204120514,0.24774678143839865
Pérou,170,2017,31444298.0,3.195,1010685.0,28623.3,37.643,4,3,9.799552,210715.971528,156638000.0,129.40663808333335,2.4169723871717537,1.908136095135595,78.94736842105263,13.47,6.147,46.575948364310754,5,False,False,0,3.005155353563832,1.2930222092755046,-0.18151102968798005,0.18291027431719917
Philippines,171,2017,105172925.0,2.9960000000000004,976010.0,22878.2,41.018,2,3,2.860566,313619.624581,187147000.0,126.0516244911,5.419645788115145,2.3675294758608265,43.684210526315795,13.87,6.365,12.047473244658738,5,False,False,0,1.5165494076663384,1.0966092814720294,-0.8632672707591506,0.3148863549345544
Guinée-Bissau,175,2017,1828145.0,5.235,822345.0,16114.75,21.133000000000006,1,0,14.518424,1350.177012,2047000.0,117.22146933333336,2.188010250828025,2.188010250828025,100.0,2.16,0.0,1.4068905912824199,2,True,False,1,-2.168046121396629,-0.8451021464081014,-0.4161134752996146,0.11765225802070359
Timor-Leste,176,2017,1243258.0,3.925,781100.0,21071.45,27.125999999999998,1,3,-0.6495890000000001,2487.269437,950000.0,98.5568275,10.456397626236873,8.847721068354275,84.61538461538461,4.24,-1.8519999999999999,0.7584909970416438,1,False,False,1,-0.7869098047549857,-1.121192028782409,-1.2876465180577024,1.157948379529605
Zimbabwe,181,2017,14236595.0,3.054,793145.0,18691.65,22.691,2,3,7.261899,22040.902301,21617000.0,102.74349025,0.5619321193024034,0.42144908947680254,75.0,4.68,0.214,4.846664528983228,1,False,False,1,-1.3216777061703715,0.11351544655871076,-1.4417566171889955,0.6485999511580421
Rwanda,184,2017,11980961.000000002,5.3820000000000014,808475.0,21622.6,14.77,1,0,7.800621,9136.162028,5309000.0,174.03628999999995,7.0277516178480255,5.003144182410275,53.861552692864954,1.49,11.194,1.3246015908072817,2,True,False,1,-1.8011120215143368,0.1913986622061949,0.02489673142118834,-0.06401098323543666
Sao Tomé-et-Principe,193,2017,207089.00000000003,3.839,882570.0,18998.25,30.413,2,3,8.273411,365.493009,321000.0,111.88314775,9.657683411480088,9.657683411480088,100.0,9.47,-3.858,3.515396761778752,6,False,True,1,-0.3289164391574949,-1.250101588722103,-0.7462418858575284,0.20735727226245074
Sénégal,195,2017,15419355.0,5.768,953380.0,22126.3,21.462,1,0,9.977013,20939.966699,51383000.0,118.7253745,0.38912133484182704,5.003144182410275,53.861552692864954,4.76,6.966,4.18843719468162,3,True,False,2,-0.4557277101405852,0.30709814754371145,0.6465233842911826,0.6844583277763359
Sierra Leone,197,2017,7488423.000000001,4.413,893885.0,20323.2,23.851,2,0,-3.201634,3739.051196,13600000.0,185.28630566666664,2.5372498321742767,1.8695525079178883,73.68421052631578,3.97,-14.069,2.0431538122245496,1,False,False,1,-1.025949162954539,-0.5810626489653008,-1.2933260981511028,1.0189921378425917
Suriname,207,2017,570496.0,2.03,982945.0,21994.9,40.989,2,3,2.589448,3210.020005,6423000.0,253.44072766666667,36.81007404083464,31.55149203500112,85.71428571428571,31.06,-10.127,16.0018650437514,6,False,True,3,2.9530290482634625,-2.1239615613742706,-1.4039374975739416,-2.5648311678755764
