Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","1","Arménie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","44.57","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","1","Arménie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","57.51","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","10","Australie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3311","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","10","Australie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","108.1","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","10","Australie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","153.92","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","10","Australie","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","1034","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","10","Australie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","71.3","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","10","Australie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","74.22","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","11","Autriche","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3692","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","11","Autriche","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","108.13","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","11","Autriche","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","166.72","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","11","Autriche","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","1153","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","11","Autriche","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","64.88","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","11","Autriche","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","92.78","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","52","Azerbaïdjan","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3103","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","52","Azerbaïdjan","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","92.35","Fc","Donnée calculée"
