Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","56","Dominican Republic","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","10513.104","X","International reliable sources",""
"OA","Annual population","58","Ecuador","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","16785.361","X","International reliable sources",""
"OA","Annual population","59","Egypt","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","96442.591","X","International reliable sources",""
"OA","Annual population","60","El Salvador","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","6388.126","X","International reliable sources",""
"OA","Annual population","61","Equatorial Guinea","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","1262.002","X","International reliable sources",""
"OA","Annual population","178","Eritrea","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","3412.893","X","International reliable sources",""
"OA","Annual population","63","Estonia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","1319.39","X","International reliable sources",""
"OA","Annual population","209","Eswatini","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","1124.805","X","International reliable sources",""
"OA","Annual population","238","Ethiopia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","106399.924","X","International reliable sources",""
"OA","Annual population","65","Falkland Islands (Malvinas)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","3.068","X","International reliable sources",""
"OA","Annual population","64","Faroe Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","48.331","X","International reliable sources",""
"OA","Annual population","66","Fiji","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","877.459","X","International reliable sources",""
"OA","Annual population","67","Finland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","5511.371","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","64842.509","X","International reliable sources",""
"OA","Annual population","69","French Guyana","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","275.191","X","International reliable sources",""
"OA","Annual population","70","French Polynesia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","276.102","X","International reliable sources",""
"OA","Annual population","74","Gabon","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","2064.823","X","International reliable sources",""
"OA","Annual population","75","Gambia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","2213.889","X","International reliable sources",""
"OA","Annual population","73","Georgia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","4008.716","X","International reliable sources",""
"OA","Annual population","79","Germany","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","82658.409","X","International reliable sources",""
"OA","Annual population","81","Ghana","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","29121.465","X","International reliable sources",""
"OA","Annual population","82","Gibraltar","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","33.728","X","International reliable sources",""
"OA","Annual population","84","Greece","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","10569.45","X","International reliable sources",""
"OA","Annual population","85","Greenland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","56.481","X","International reliable sources",""
"OA","Annual population","86","Grenada","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","110.874","X","International reliable sources",""
"OA","Annual population","87","Guadeloupe","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","399.672","X","International reliable sources",""
"OA","Annual population","88","Guam","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","164.281","X","International reliable sources",""
"OA","Annual population","89","Guatemala","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","16914.97","X","International reliable sources",""
"OA","Annual population","90","Guinea","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","12067.519","X","International reliable sources",""
"OA","Annual population","175","Guinea-Bissau","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","1828.145","X","International reliable sources",""
"OA","Annual population","91","Guyana","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","775.222","X","International reliable sources",""
"OA","Annual population","93","Haiti","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","10982.366","X","International reliable sources",""
"OA","Annual population","94","Holy See","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","0.793","X","International reliable sources",""
"OA","Annual population","95","Honduras","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","9429.013","X","International reliable sources",""
"OA","Annual population","97","Hungary","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","9729.823","X","International reliable sources",""
"OA","Annual population","99","Iceland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","334.393","X","International reliable sources",""
"OA","Annual population","100","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","1338676.785","X","International reliable sources",""
"OA","Annual population","101","Indonesia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","264650.963","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","80673.883","X","International reliable sources",""
"OA","Annual population","103","Iraq","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","37552.781","X","International reliable sources",""
"OA","Annual population","104","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","4753.279","X","International reliable sources",""
"OA","Annual population","264","Isle of Man","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","83.598","X","International reliable sources",""
"OA","Annual population","105","Israel","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","8243.848","X","International reliable sources",""
"OA","Annual population","106","Italy","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","60673.701","X","International reliable sources",""
"OA","Annual population","109","Jamaica","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","2920.848","X","International reliable sources",""
"OA","Annual population","110","Japan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","127502.725","X","International reliable sources",""
"OA","Annual population","112","Jordan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","9785.843","X","International reliable sources",""
"OA","Annual population","108","Kazakhstan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","18080.019","X","International reliable sources",""
