Zone,Code zone,Année,Population,Evolution population (%),Dispo. Alim. (Kcal/personne),Dispo. Prot. (g/personne),Prot. Animales/Prot. Totales dispo (%),Cluster,Clusterkm,Croissance annuelle PIB US$ (%),PIB Total US$ (Millions),Nombre de têtes réserves volailles,Moyenne prix conso alim ($/mois),Imports viandes / hbts (kg/personne/an),Imports viande volaille / hbts (kg/personne/an),Import volailles / imports viandes (%),Conso volailles 2017 (kg/hbt/an),Evo conso volailles 2015-2017 (%),Elevage volailles / hbts (kg/personne/an)
Maldives,132,2017,496402.0,9.12,821980.0,29827.8,60.083,2,0,8.149222,4735.999662,14841121.399360167,162.9394915,34.24643736326606,24.173955785834867,70.58823529411765,13.5,1.887,7.848053260030429
Mali,133,2017,18512430.0,6.157,1067990.0,30992.15,27.311,2,0,9.491953,15375.720393000001,45000000.0,118.57709133333334,0.10803551991823872,0.05401775995911936,50.0,2.83,8.846,2.592852478037729
Mauritanie,136,2017,4282570.0,5.839,1037330.0,29134.3,36.883,2,0,7.560997,7062.598875,4634000.0,135.58304283333334,5.6041115498403995,5.6041115498403995,100.0,5.14,-0.772,1.0956038079937982
Mozambique,144,2017,28649018.0,5.943,840960.0,18691.65,17.555,1,0,10.740445,13219.07958,36458000.0,199.09303516666668,1.2565875730888927,0.8377250487259285,66.66666666666666,3.59,6.213,3.1048882722611992
Namibie,147,2017,2402633.0,3.79,887315.0,22692.05,36.625,2,3,20.201969000000002,13566.192143,4625000.0,163.01500908333335,17.064612031883353,12.070091437185788,70.73170731707317,11.53,5.78,4.329000725454116
Népal,149,2017,27632681.0,2.286,1046090.0,26900.5,17.178,2,3,21.947608,25587.453462999998,70402000.0,114.75416666666668,0.03618903283398379,5.003144182410275,53.86155269286495,1.99,23.602,2.0724735323365837
Vanuatu,155,2017,285510.0,5.3039999999999985,957395.0,23261.45,39.746,2,0,9.413919,880.046992,859000.0,119.22456275,14.010017162271025,14.010017162271025,100.0,11.66,3.552,3.9788448740849707
Nicaragua,157,2017,6384846.0,2.597,959585.0,24144.750000000004,33.333,2,3,4.196068,13843.586679,23192000.0,149.61927666666665,4.542004615303172,0.9397250928213461,20.689655172413794,21.59,6.565,22.351674574453323
Niger,158,2017,21602382.0,8.003,941335.0,29889.85,15.24,1,0,8.578767,11170.054787000001,19396000.0,102.95833333333333,0.13887357421973187,0.13887357421973187,100.0,0.94,-23.577,0.8651823673889296
Nigéria,159,2017,190873244.0,5.375,899360.0,20410.8,12.75,1,0,-7.136900999999999,375769.71940500004,143232000.0,221.42601466666667,0.005239078977460036,5.003144182410275,53.86155269286495,1.01,-6.481,1.0388464922825957
Pakistan,165,2017,207906209.0,4.252,848990.0,24181.25,42.053,2,3,9.214046000000002,303091.943222,503159000.0,106.53853424999998,0.019239444647850802,0.009619722323925401,50.0,5.86,13.786,6.1373828426644055
Pérou,170,2017,31444298.0,3.195,1010685.0,28623.3,37.643,4,3,9.799552,210715.971528,156638000.0,129.40663808333335,2.4169723871717537,1.908136095135595,78.94736842105263,13.47,6.147,46.575948364310754
Philippines,171,2017,105172925.0,2.9960000000000004,976010.0,22878.2,41.018,2,3,2.860566,313619.624581,187147000.0,126.05162449110001,5.419645788115145,2.3675294758608265,43.684210526315795,13.87,6.365,12.047473244658738
Guinée-Bissau,175,2017,1828145.0,5.235,822345.0,16114.75,21.133000000000006,1,0,14.518424,1350.1770119999999,2047000.0,117.22146933333335,2.1880102508280252,2.1880102508280252,100.0,2.16,0.0,1.40689059128242
Timor-Leste,176,2017,1243258.0,3.925,781100.0,21071.45,27.126,1,3,-0.6495890000000001,2487.269437,950000.0,98.5568275,10.456397626236871,8.847721068354275,84.61538461538461,4.24,-1.852,0.7584909970416438
Zimbabwe,181,2017,14236595.0,3.054,793145.0,18691.65,22.691,2,3,7.2618990000000005,22040.902301,21617000.0,102.74349025,0.5619321193024034,0.42144908947680254,75.0,4.68,0.214,4.846664528983229
Rwanda,184,2017,11980961.000000002,5.3820000000000014,808475.0,21622.6,14.77,1,0,7.8006210000000005,9136.162028,5309000.0,174.03628999999998,7.027751617848025,5.003144182410275,53.86155269286495,1.49,11.194,1.3246015908072815
Sao Tomé-et-Principe,193,2017,207089.00000000003,3.839,882570.0,18998.25,30.413,2,3,8.273411,365.493009,321000.0,111.88314774999999,9.657683411480088,9.657683411480088,100.0,9.47,-3.858,3.5153967617787516
