Code zone,Zone,Année,Population,Evolution population (%),Dispo. Alim. (Kcal/personne),Dispo. Prot. (g/personne),Prot. Animales/Prot. Totales dispo (%)
197,Sierra Leone,2017,7488423.000000001,4.413,893885.0,20323.2,23.851
198,Slovénie,2017,2076393.9999999998,0.251,1166175.0,35912.35,54.985
199,Slovaquie,2017,5447900.0,0.226,1010685.0,22892.8,58.849
202,Afrique du Sud,2017,57009755.99999999,2.931,1092810.0,30444.649999999998,41.434
203,Espagne,2017,46647428.0,-0.052,1193550.0,39095.15,62.114
207,Suriname,2017,570496.0,2.03,982945.0,21994.899999999998,40.989
208,Tadjikistan,2017,8880268.0,5.042,767960.0,20217.35,24.282
209,Eswatini,2017,1124805.0,1.88,877825.0,22381.8,29.534
210,Suède,2017,9904896.0,1.433,1174935.0,39131.649999999994,63.091
211,Suisse,2017,8455804.0,1.917,1245745.0,34886.7,61.205
213,Turkménistan,2017,5757666.999999999,3.457,1047915.0,33890.25,43.113
214,"Chine, Taiwan Province de",2017,23674546.000000004,0.497,1086240.0,31298.75,49.516
215,République-Unie de Tanzanie,2017,54660339.00000001,6.172,874540.0,21819.7,15.624
216,Thaïlande,2017,69209810.0,0.721,1031855.0,22265.0,42.918
217,Togo,2017,7698474.0,5.125,886585.0,20921.8,16.05
220,Trinité-et-Tobago,2017,1384059.0,1.002,1110695.0,30897.250000000004,49.911
221,Oman,2017,4665928.0,9.34,1069815.0,31076.1,49.565
222,Tunisie,2017,11433443.000000002,2.267,1265455.0,36127.700000000004,28.491
223,Turquie,2017,81116450.0,3.294,1292100.0,36948.950000000004,35.335
225,Émirats arabes unis,2017,9487203.000000002,2.422,1228590.0,39182.75,40.829
226,Ouganda,2017,41166587.99999999,7.694,782560.0,19107.75,20.783
229,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,2017,66727460.99999999,1.317,1251220.0,37978.25,56.213
230,Ukraine,2017,44487709.0,-0.966,1107775.0,31459.35,43.381
231,États-Unis d'Amérique,2017,325084756.0,1.311,1374590.0,41511.450000000004,64.952
233,Burkina Faso,2017,19193234.0,5.978,992800.0,27787.449999999997,14.37
234,Uruguay,2017,3436640.9999999995,0.722,1150845.0,30816.95,53.429
235,Ouzbékistan,2017,31959785.0,3.331,1103030.0,34142.100000000006,40.047
236,Venezuela (République bolivarienne du),2017,29402484.0,-2.258,820155.0,20542.2,45.078
237,Viet Nam,2017,94600648.0,2.076,1072370.0,32860.95,40.886
238,Éthiopie,2017,106399924.0,5.518,840960.0,23962.250000000004,8.911
244,Samoa,2017,195352.0,0.95,1085510.0,31298.75,61.819
249,Yémen,2017,27834819.0,5.045,752995.0,19428.949999999997,20.026
251,Zambie,2017,16853599.0,6.135,734745.0,21567.850000000002,19.783
255,Belgique,2017,11419748.0,1.168,1375320.0,37065.75,56.987
256,Luxembourg,2017,591910.0,4.441,1217275.0,38711.9,63.54
272,Serbie,2017,8829628.0,-0.531,1023825.0,30112.5,48.509
273,Monténégro,2017,627563.0,0.097,1270565.0,41358.15,60.604
276,Soudan,2017,40813397.00000001,4.911,888045.0,24776.199999999997,31.128
