Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","351","Chine","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","12535816.489996","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées",""
"MK","Indicateurs macro","351","Chine","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","8.967606","Fc","Donnée calculée",""
"MK","Indicateurs macro","96","Chine - RAS de Hong-Kong","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","341684.919642","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","96","Chine - RAS de Hong-Kong","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","6.489427","Fc","Donnée calculée",""
"MK","Indicateurs macro","128","Chine - RAS de Macao","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","50559.425547","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","128","Chine - RAS de Macao","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","11.554895","Fc","Donnée calculée",""
"MK","Indicateurs macro","41","Chine, continentale","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","12143572.144807","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","41","Chine, continentale","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","9.028469","Fc","Donnée calculée",""
"MK","Indicateurs macro","50","Chypre","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","22638.471872","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","50","Chypre","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","8.441065","Fc","Donnée calculée",""
"MK","Indicateurs macro","44","Colombie","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","311789.874369","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","44","Colombie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","10.241266","Fc","Donnée calculée",""
"MK","Indicateurs macro","45","Comores","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","1065.019333","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","45","Comores","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","5.252494","Fc","Donnée calculée",""
"MK","Indicateurs macro","46","Congo","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","10978.971299","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","46","Congo","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","9.660458","Fc","Donnée calculée",""
"MK","Indicateurs macro","48","Costa Rica","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","58174.550212","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","48","Costa Rica","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","1.778499","Fc","Donnée calculée",""
"MK","Indicateurs macro","107","Côte d'Ivoire","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","38147.836938","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","107","Côte d'Ivoire","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","8.003409","Fc","Donnée calculée",""
"MK","Indicateurs macro","98","Croatie","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","55319.365464","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","98","Croatie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","7.214311","Fc","Donnée calculée",""
"MK","Indicateurs macro","49","Cuba","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","96851","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","49","Cuba","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","5.998687","Fc","Donnée calculée",""
"MK","Indicateurs macro","279","Curaçao","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","3116.62911","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","279","Curaçao","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","-0.18124","Fc","Donnée calculée",""
"MK","Indicateurs macro","54","Danemark","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","329417.097418","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","54","Danemark","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","5.206124","Fc","Donnée calculée",""
"MK","Indicateurs macro","72","Djibouti","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","2766.868072","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","72","Djibouti","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","5.662606","Fc","Donnée calculée",""
"MK","Indicateurs macro","55","Dominique","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","519.837037","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","55","Dominique","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","-9.667454","Fc","Donnée calculée",""
"MK","Indicateurs macro","59","Égypte","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","195135.299313","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","59","Égypte","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","-27.795735","Fc","Donnée calculée",""
"MK","Indicateurs macro","60","El Salvador","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","24927.973702","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","60","El Salvador","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","3.203851","Fc","Donnée calculée",""
"MK","Indicateurs macro","225","Émirats arabes unis","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","377701.060178","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","225","Émirats arabes unis","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","5.785236","Fc","Donnée calculée",""
"MK","Indicateurs macro","58","Équateur","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","104295.862","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","58","Équateur","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","4.360883","Fc","Donnée calculée",""
"MK","Indicateurs macro","178","Érythrée","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","5928.331759","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","178","Érythrée","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","18.266569","Fc","Donnée calculée",""
"MK","Indicateurs macro","203","Espagne","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","1312551.705955","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","203","Espagne","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","6.531715","Fc","Donnée calculée",""
"MK","Indicateurs macro","63","Estonie","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","26859.101054","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","63","Estonie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","11.92947","Fc","Donnée calculée",""
"MK","Indicateurs macro","209","Eswatini","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","4446.225564","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","209","Eswatini","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","15.764387","Fc","Donnée calculée",""
"MK","Indicateurs macro","231","États-Unis d'Amérique","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","19519424","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","231","États-Unis d'Amérique","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","4.298062","Fc","Donnée calculée",""
"MK","Indicateurs macro","238","Éthiopie","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","76784.78438","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","238","Éthiopie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","6.41253","Fc","Donnée calculée",""
"MK","Indicateurs macro","185","Fédération de Russie","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","1581442.647526","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","185","Fédération de Russie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","23.068113","Fc","Donnée calculée",""
"MK","Indicateurs macro","66","Fidji","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","5353.468384","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","66","Fidji","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","8.584245","Fc","Donnée calculée",""
"MK","Indicateurs macro","67","Finlande","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","255065.064429","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","67","Finlande","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","6.025169","Fc","Donnée calculée",""
"MK","Indicateurs macro","68","France","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","2592689.469914","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","68","France","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","4.912579","Fc","Donnée calculée",""
"MK","Indicateurs macro","74","Gabon","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","14929.474265","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","74","Gabon","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","6.457901","Fc","Donnée calculée",""
"MK","Indicateurs macro","75","Gambie","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","1504.954083","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","75","Gambie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","2.569375","Fc","Donnée calculée",""
"MK","Indicateurs macro","73","Géorgie","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","16242.672516","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","73","Géorgie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","7.271793","Fc","Donnée calculée",""
"MK","Indicateurs macro","81","Ghana","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","58994.855221","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","81","Ghana","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","7.244399","Fc","Donnée calculée",""
"MK","Indicateurs macro","84","Grèce","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","203588.882261","X","Sources internationales sûres","Data from UNSD AMA"
