Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","194","Arabie saoudite","5611","Importations - Quantité","2735","Viande, Autre","2017","2017","Milliers de tonnes","2","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","9","Argentine","5611","Importations - Quantité","2943","Viande","2017","2017","Milliers de tonnes","44","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Nouveaux Bilans Alimentaire","9","Argentine","5611","Importations - Quantité","2731","Viande de Bovins","2017","2017","Milliers de tonnes","1","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","9","Argentine","5611","Importations - Quantité","2733","Viande de Suides","2017","2017","Milliers de tonnes","35","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","9","Argentine","5611","Importations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","8","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","9","Argentine","5611","Importations - Quantité","2735","Viande, Autre","2017","2017","Milliers de tonnes","1","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","1","Arménie","5611","Importations - Quantité","2943","Viande","2017","2017","Milliers de tonnes","48","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Nouveaux Bilans Alimentaire","1","Arménie","5611","Importations - Quantité","2731","Viande de Bovins","2017","2017","Milliers de tonnes","3","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","1","Arménie","5611","Importations - Quantité","2732","Viande d'Ovins/Caprins","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","1","Arménie","5611","Importations - Quantité","2733","Viande de Suides","2017","2017","Milliers de tonnes","10","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","1","Arménie","5611","Importations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","35","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","1","Arménie","5611","Importations - Quantité","2735","Viande, Autre","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","10","Australie","5611","Importations - Quantité","2943","Viande","2017","2017","Milliers de tonnes","304","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Nouveaux Bilans Alimentaire","10","Australie","5611","Importations - Quantité","2731","Viande de Bovins","2017","2017","Milliers de tonnes","13","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","10","Australie","5611","Importations - Quantité","2732","Viande d'Ovins/Caprins","2017","2017","Milliers de tonnes","1","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","10","Australie","5611","Importations - Quantité","2733","Viande de Suides","2017","2017","Milliers de tonnes","274","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","10","Australie","5611","Importations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","16","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","10","Australie","5611","Importations - Quantité","2735","Viande, Autre","2017","2017","Milliers de tonnes","1","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","11","Autriche","5611","Importations - Quantité","2943","Viande","2017","2017","Milliers de tonnes","384","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Nouveaux Bilans Alimentaire","11","Autriche","5611","Importations - Quantité","2731","Viande de Bovins","2017","2017","Milliers de tonnes","61","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","11","Autriche","5611","Importations - Quantité","2732","Viande d'Ovins/Caprins","2017","2017","Milliers de tonnes","3","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","11","Autriche","5611","Importations - Quantité","2733","Viande de Suides","2017","2017","Milliers de tonnes","203","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","11","Autriche","5611","Importations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","110","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","11","Autriche","5611","Importations - Quantité","2735","Viande, Autre","2017","2017","Milliers de tonnes","7","S","Données standardisées"
